avanzar 13401 metros
avanzar 16423 metros
girar 142 grados
avanzar 10585 metros
avanzar 27088 metros
avanzar 31426 metros
girar 177 grados
avanzar 30932 metros
avanzar 4169 metros
avanzar 2154 metros
avanzar 19976 metros
avanzar 31329 metros
avanzar 2368 metros
girar 115 grados
avanzar 3434 metros
avanzar 16549 metros
avanzar 30145 metros
girar 60 grados
avanzar 21718 metros
avanzar 12423 metros
avanzar 16279 metros
girar 76 grados
avanzar 22549 metros
avanzar 17437 metros
avanzar 19866 metros
avanzar 23195 metros
avanzar 3297 metros
avanzar 20416 metros
girar 8 grados
avanzar 16282 metros
avanzar 12455 metros
avanzar 11701 metros
girar 176 grados
avanzar 20671 metros
avanzar 4313 metros
avanzar 24355 metros
girar 45 grados
avanzar 10808 metros
avanzar 1832 metros
avanzar 20945 metros
avanzar 28321 metros
avanzar 19558 metros
avanzar 23646 metros
girar 4 grados
avanzar 23196 metros
avanzar 20222 metros
avanzar 5535 metros
girar 110 grados
avanzar 11173 metros
avanzar 21659 metros
avanzar 26292 metros
girar 159 grados
avanzar 26154 metros
avanzar 29510 metros
avanzar 4745 metros
avanzar 8313 metros
avanzar 4474 metros
avanzar 28022 metros
girar 67 grados
avanzar 9905 metros
avanzar 17958 metros
avanzar 3625 metros
girar 17 grados
avanzar 4414 metros
avanzar 29334 metros
avanzar 25874 metros
girar 72 grados
avanzar 28070 metros
avanzar 7487 metros
avanzar 28297 metros
avanzar 17773 metros
avanzar 32270 metros
avanzar 1763 metros
girar 125 grados
avanzar 3102 metros
avanzar 8480 metros
avanzar 4802 metros
girar 139 grados
avanzar 30527 metros
avanzar 1924 metros
avanzar 11023 metros
girar 92 grados
avanzar 31003 metros
avanzar 27432 metros
avanzar 17505 metros
avanzar 13031 metros
avanzar 8492 metros
avanzar 142 metros
girar 104 grados
avanzar 7900 metros
avanzar 19187 metros
avanzar 30974 metros
girar 50 grados
avanzar 29170 metros
avanzar 19711 metros
avanzar 25760 metros
girar 176 grados
avanzar 12550 metros
avanzar 140 metros
avanzar 13694 metros
avanzar 28019 metros
avanzar 2125 metros
avanzar 26576 metros
girar 22 grados
avanzar 17371 metros
avanzar 22466 metros
avanzar 23851 metros
girar 104 grados
avanzar 1018 metros
avanzar 23152 metros
avanzar 2800 metros
girar 87 grados
avanzar 9010 metros
avanzar 4757 metros
avanzar 32170 metros
avanzar 30227 metros
avanzar 12043 metros
avanzar 22758 metros
girar 142 grados
avanzar 17086 metros
avanzar 29565 metros
avanzar 14474 metros
girar 105 grados
avanzar 25627 metros
avanzar 25423 metros
avanzar 28520 metros
girar 62 grados
avanzar 24596 metros
avanzar 3737 metros
avanzar 13261 metros
avanzar 1264 metros
avanzar 8260 metros
avanzar 6202 metros
girar 166 grados
avanzar 29011 metros
avanzar 30771 metros
avanzar 21153 metros
girar 100 grados
avanzar 29790 metros
avanzar 21763 metros
avanzar 4940 metros
girar 151 grados
avanzar 30900 metros
avanzar 17713 metros
avanzar 18958 metros
avanzar 13007 metros
avanzar 11477 metros
avanzar 1200 metros
girar 143 grados
avanzar 12760 metros
avanzar 19357 metros
avanzar 5108 metros
girar 53 grados
avanzar 14887 metros
avanzar 14460 metros
avanzar 22428 metros
girar 33 grados
avanzar 6540 metros
avanzar 31111 metros
avanzar 28704 metros
avanzar 6072 metros
avanzar 29350 metros
avanzar 18823 metros
girar 176 grados
avanzar 1626 metros
avanzar 9357 metros
avanzar 29337 metros
girar 51 grados
avanzar 23869 metros
avanzar 13022 metros
avanzar 29617 metros
girar 32 grados
avanzar 11585 metros
avanzar 24041 metros
avanzar 24423 metros
avanzar 4565 metros
avanzar 6559 metros
avanzar 8932 metros
girar 173 grados
avanzar 16962 metros
avanzar 3584 metros
avanzar 16972 metros
girar 37 grados
avanzar 14369 metros
avanzar 2607 metros
avanzar 2483 metros
girar 11 grados
avanzar 22848 metros
avanzar 4675 metros
avanzar 12938 metros
avanzar 23754 metros
avanzar 6511 metros
avanzar 22741 metros
girar 5 grados
avanzar 3221 metros
avanzar 17870 metros
avanzar 15205 metros
girar 103 grados
avanzar 23850 metros
avanzar 22701 metros
avanzar 12193 metros
girar 134 grados
avanzar 5556 metros
avanzar 1993 metros
avanzar 10176 metros
